year,flow
1901,3558.20261438
1902,3565.06849315
1903,4767.91780822
1904,4804.9726776
1905,4949.42465753
1930,1031.93406593
1931,1403.75616438
1932,2851.81420765
1933,3229.33150685
1934,1866.21369863
1935,2979.39726027
1936,2510.75136612
1937,3269.96712329
1938,3667.45205479
1939,2867.38356164
1940,2544.16666667
1941,2999.79178082
1942,4189.7260274
1943,5846.43835616
1944,2851.10928962
1945,3176.21917808
1946,3061.8630137
1947,4957.04109589
1948,4470.06284153
1949,3022.0
1950,5469.89041096
1951,4619.34246575
1952,4472.4863388
1953,2432.0
1954,3299.15342466
1955,3025.6
1956,4052.19672131
1957,3409.53424658
1958,2067.43835616
1959,3563.13424658
1960,3729.53005464
1961,2322.93424658
1962,2628.39178082
1963,1726.62739726
1964,1630.70765027
1965,3415.89315068
1966,3056.34246575
1967,3993.43287671
1968,3678.30601093
1969,3696.67123288
1970,3568.50958904
1971,3396.37260274
1972,4527.07650273
1973,5516.84931507
1974,5578.87671233
1975,5556.52054795
1976,4928.55191257
1977,2438.00821918
1978,3014.89315068
1979,3306.25753425
1980,3354.59016393
1981,4434.68493151
1982,4239.31506849
1983,4335.61643836
1984,3269.34972678
1985,5444.76712329
1986,5853.80821918
1987,3251.79726027
1988,3998.85519126
1989,4207.56164384
1990,5401.20547945
1991,5084.1369863
1992,5062.43169399
1993,5937.56164384
1994,5622.60273973
1995,3961.83561644
1996,3800.76502732
1997,4331.56164384
1998,3981.25205479
1999,2956.32876712
2000,3594.18032787
2001,4841.78082192
2002,3455.57534247
2003,2414.26027397
2004,4438.06010929
2005,3422.99178082
2006,4714.46575342
2007,4020.03835616
2008,5330.54644809
2009,6089.56164384
2010,3844.73972603
2011,5556.82191781
2012,3429.51639344
2013,5097.20547945
2014,4935.80821918
2015,3780.2739726
2016,5017.78688525
2017,5594.63013699
2018,7229.67032967
